,,,,,,,,,,FECHA MODIFICACIÓN:,16-feb-23
NC,ESTADO,EQUIPO/ACTIVO,DESCRIPCIÓN,TIPO DE PRUEBA,ÁREA A INSPECIONAR,FECHA REALIZACIÓN,NO. DE REPORTE / CERTIFICADO,EMISOR,REALIZÓ,PROXIMA PRUEBA,DIAS DE VIGENCIA
1,ACTIVO,PCT-BP-01,"BRIDA DE PRUEBA 11"" 5K X 1/2"" X 11.91 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-021-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
2,ACTIVO,PCT-BP-01,"BRIDA DE PRUEBA 11"" 5K X 1/2"" X 11.91 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
3,ACTIVO,PCT-BP-02,"BRIDA DE PRUEBA 7 1/16 5K X 2  7/8 UNC, CON TAPON DE PRUEBA x 1/2""",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-022-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
4,ACTIVO,PCT-BP-02,"BRIDA DE PRUEBA 7 1/16 5K X 2  7/8 UNC, CON TAPON DE PRUEBA x 1/2""",P.T.,GENERAL,,FALTA,,,,#VALOR!
5,ACTIVO,PCT-BP-03,"BRIDA DE PRUEBA 13 5/8"" 5K  X 1/2"" X 11.27 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-023-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
6,ACTIVO,PCT-BP-03,"BRIDA DE PRUEBA 13 5/8"" 5K  X 1/2"" X 11.27 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
7,ACTIVO,PCT-BP-04,"BRIDA DE PRUEBA 13 5/8"" 5K  X 1/2"" X 11.27 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-024-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
8,ACTIVO,PCT-BP-04,"BRIDA DE PRUEBA 13 5/8"" 5K  X 1/2"" X 11.27 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
9,ACTIVO,PCT-BP-05,"BRIDA DE PRUEBA 18 3/4"" 10K  X 1/2"" X 37.84 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-063-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
10,ACTIVO,PCT-BP-05,"BRIDA DE PRUEBA 18 3/4"" 10K  X 1/2"" X 37.84 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
11,ACTIVO,PCT-BP-06,"BRIDA DE PRUEBA 16 3/4"" 5K X 1/2"" X 13.02 CM ALTURA",M.T. / L.P.,CARA,03-feb-23,TR-REF-PCT-025-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
12,ACTIVO,PCT-BP-06,"BRIDA DE PRUEBA 16 3/4"" 5K X 1/2"" X 13.02 CM ALTURA",P.T.,GENERAL,,FALTA,,,,#VALOR!
13,ACTIVO,PCT-CA-01,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 45.72 CM ALTURA",M.T. / L.P.,CARA,26-may-22,TR-REF-PCT-086-22,TRUESPECT,,26-may-23,-898
14,ACTIVO,PCT-CA-01,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 45.72 CM ALTURA",U.T.T.,CUERPO,26-may-22,TR-REF-PCT-087-22,TRUESPECT,,26-may-23,-898
15,ACTIVO,PCT-CA-01,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 45.72 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
16,ACTIVO,PCT-CA-02,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 40.64 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-053-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
17,ACTIVO,PCT-CA-02,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 40.64 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-011-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
18,ACTIVO,PCT-CA-02,"CARRETE ADAPTADOR 11"" 5K X 11"" 10K X 40.64 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
19,F. SERV.,PCT-CA-03,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 45.85 CM ALTURA",M.T. / L.P.,CARA,18-feb-22,TR-REF-PCT-006-22,TRUESPECT,,18-feb-23,-995
20,F. SERV.,PCT-CA-03,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 45.85 CM ALTURA",U.T.T.,CUERPO,18-feb-22,TR-REF-PCT-014-22,TRUESPECT,,18-feb-23,-995
21,F. SERV.,PCT-CA-03,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 45.85 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
22,ACTIVO,PCT-CA-04,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 48.51 CM ALTURA",M.T. / L.P.,CARA,13-feb-23,TR-REF-PCT-069-23,TRUESPECT,MIGUEL ANGEL HERNANDEZ VELAZCO,13-feb-24,-635
23,ACTIVO,PCT-CA-04,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 48.51 CM ALTURA",U.T.T.,CUERPO,,FALTA,TRUESPECT,,,#VALOR!
24,ACTIVO,PCT-CA-04,"CARRETE ADAPTADOR 13 5/8"" 5K X 11"" 10K X 48.51 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
25,F. SERV.,PCT-CA-05,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 45.72 CM ALTURA",M.T. / L.P.,CARA,,FALTA,,,,#VALOR!
26,F. SERV.,PCT-CA-05,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 45.72 CM ALTURA",U.T.T.,CUERPO,,FALTA,,,,#VALOR!
27,F. SERV.,PCT-CA-05,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 45.72 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
28,ACTIVO,PCT-CA-06,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 46.47 CM ALTURA",M.T. / L.P.,CARA,19-feb-22,TR-REF-PCT-029-22,TRUESPECT,,19-feb-23,-994
29,ACTIVO,PCT-CA-06,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 46.47 CM ALTURA",U.T.T.,CUERPO,19-feb-22,TR-REF-PCT-022-22,TRUESPECT,,19-feb-23,-994
30,ACTIVO,PCT-CA-06,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 46.47 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
31,ACTIVO,PCT-CA-07,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 49.01 CM ALTURA",M.T. / L.P.,CARA,08-feb-23,TR-REF-PCT-054-23,TRUESPECT,JOSE DE JESUS PEREZ,08-feb-24,-640
32,ACTIVO,PCT-CA-07,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 49.01 CM ALTURA",U.T.T.,CUERPO,03-feb-23,TR-REF-PCT-012-23,TRUESPECT,LUIS EDUARDO RODRIGUEZ,03-feb-24,-645
33,ACTIVO,PCT-CA-07,"CARRETE ADAPTADOR 13 5/8"" 5K X 13 5/8"" 10K X 49.01 CM ALTURA",P.T.,GENERAL,,FALTA,,,,
