#,EDO,SERIAL,EQUIPO / ACTIVO,TIPO,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,X,DIAMETRO,TIPO,CONEXIÓN,PRESION,P.T.,SERVICIO,A / L,TEMP,D. EXT,PESO,PROPIEDAD,NOMENCLATURA FLEJE,L. FLEJE,,UNION
1,ON,,PCT-BP-01,BRIDA DE PRUEBA,11      ,B,R-54 / RX-54,5000,X,  1/2 ,NPT,H,5000,NA,NA,NA,NA,NA,5000,H2S,4 11/16,-29 - 121 C,,,PCT, / PCT-BP-01 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
2,ON,,PCT-BP-03,BRIDA DE PRUEBA,13  5/8 ,B,BX-160,5000,X,  1/2 ,NPT,H,5000,NA,NA,NA,NA,NA,5000,H2S,4  7/16,-29 - 121 C,,,PCT, / PCT-BP-03 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
3,ON,,PCT-BP-04,BRIDA DE PRUEBA,13  5/8 ,B,BX-160,5000,X,  1/2 ,NPT,H,5000,NA,NA,NA,NA,NA,5000,H2S,4  7/16,-29 - 121 C,,,PCT, / PCT-BP-04 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
4,ON,2020087,PCT-BP-05,BRIDA DE PRUEBA,18  3/4 ,B,BX-164,10000,X,  1/2 ,NPT,H,5000,NA,NA,NA,NA,NA,5000,H2S,14 79/88,-29 - 121 C,,,PCT,2020087 / PCT-BP-05 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
5,ON,,PCT-BP-06,BRIDA DE PRUEBA,16  3/4 ,B,BX-162,5000,X,  1/2 ,NPT,H,5000,NA,NA,NA,NA,NA,5000,H2S,5  1/8 ,-29 - 121 C,,,PCT, / PCT-BP-06 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
6,ON,,PCT-BP-07,BRIDA DE PRUEBA,4  1/16,B,BX-155,10000,X,  1/2 ,NPT,H,10000,NA,NA,NA,NA,NA,10000,H2S,2 49/64,-29 - 121 C,,,PCT, / PCT-BP-07 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
7,ON,,PCT-BP-08,BRIDA DE PRUEBA,4  1/16,B,BX-155,10000,X,  1/2 ,NPT,H,10000,NA,NA,NA,NA,NA,10000,H2S,2 49/64,-29 - 121 C,,,PCT, / PCT-BP-08 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
8,ON,,PCT-BP-09,BRIDA DE PRUEBA,3  1/16,B,BX-154,10000,X,  1/2 ,NPT,H,10000,NA,NA,NA,NA,NA,10000,H2S,2 19/64,-29 - 121 C,,,PCT, / PCT-BP-09 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
9,ON,,PCT-BP-10,BRIDA DE PRUEBA,3  1/16,B,BX-154,10000,X,  1/2 ,NPT,H,10000,NA,NA,NA,NA,NA,10000,H2S,2 19/64,-29 - 121 C,,,PCT, / PCT-BP-10 / MAWP 10000 / H2S / TEMP -29 - 121 C,3      ,,
10,ON,,PCT-CA-01,CARRETE ADAPTADOR,11      ,B,R-54 / RX-54,5000,X,11      ,B,BX-158,10000,NA,NA,NA,NA,NA,5000,H2S,18      ,-29 - 121 C,,,PCT, / PCT-CA-01 / MAWP 5000 / H2S / TEMP -29 - 121 C,3      ,,
